t,Flux_obs,Flux_err,W149_obs,W149e_obs,Flux_model,W149_model,Magnification_model
-36.0,3.2302516915461847,0.15052231141006175,23.72690909355997,0.05011214976978343,3.261235526166253,23.716544588372525,1.0445697867207682
-35.99166666666667,3.143150134777018,0.1505226744156826,23.756587185263918,0.05011166133439851,3.261275178237681,23.716531387416175,1.0446011099031953
-35.983333333333334,3.53467774655834,0.1505230377104375,23.629125435764582,0.050111172491889455,3.261314863842914,23.71651817545647,1.0446324595756762
-35.975,3.289629502748514,0.1505234012945823,23.707132530180203,0.05011068324186483,3.2613545830149175,23.716504952482833,1.044663835764251
-35.96666666666667,3.2735668737216335,0.15052376516837465,23.712446956778866,0.05011019358393341,3.261394335786691,23.716491718484686,1.0446952384949884
-35.958333333333336,3.2054224690095134,0.15052412933207138,23.735286807821435,0.05010970351770311,3.2614341221912735,23.716478473451435,1.0447266677939877
-35.95,3.4406227344880294,0.15052449378592977,23.65840736328386,0.05010921304278153,3.2614739422617394,23.716465217372473,1.0447581236873762
-35.94166666666667,3.312487878980983,0.15052485853020728,23.699614255544486,0.05010872215877577,3.2615137960312026,23.716451950237182,1.0447896062013116
-35.93333333333334,3.274322112765687,0.15052522356516262,23.71219649731668,0.050108230865292924,3.2615536835328114,23.716438672034943,1.0448211153619795
-35.925000000000004,3.130362711686438,0.15052558889110432,23.761013345784406,0.05010773916187002,3.261593604805354,23.716425382753243,1.0448526512000214
-35.91666666666667,3.4203656014927524,0.15052595450813738,23.664818674753903,0.05010724704832015,3.261633559865249,23.71641208238703,1.0448842137284062
-35.90833333333334,3.02692806840488,0.15052632041667377,23.797494748621137,0.050106754524041654,3.2616735487625625,23.716398770920044,1.0449158029866847
-35.900000000000006,3.3170380864230387,0.15052668661692165,23.698123854643864,0.050106261588708796,3.261713571524991,23.71638544834348,1.0449474189967352
-35.89166666666667,3.6405327015527815,0.15052705310914005,23.597087658722188,0.050105768241926175,3.2617536281858714,23.716372114646653,1.0449790617848915
-35.88333333333334,3.3007148644670763,0.1505274198935878,23.70347997752404,0.050105274483297865,3.261793718778575,23.71635876981886,1.0450107313775163
-35.87500000000001,3.219127540764743,0.1505277869705246,23.730654540925716,0.050104780312427676,3.2618338433365124,23.716345413849396,1.0450424278010024
-35.866666666666674,3.18150835314304,0.1505281543402108,23.743417330433555,0.050104285728919146,3.2618740018931316,23.716332046727544,1.0450741510817718
-35.85833333333334,3.317300816485428,0.1505285220029056,23.698037860984165,0.05010379073237491,3.2619141944819185,23.716318668442565,1.0451059012462764
-35.85000000000001,3.2324561483561713,0.15052888995887012,23.726168395164642,0.05010329532239772,3.261954421136396,23.71630527898372,1.0451376783209978
-35.841666666666676,3.4884022456656734,0.15052925820836457,23.643433606509866,0.05010279949858954,3.2619946818901244,23.716291878340257,1.0451694823324467
-35.83333333333334,3.270923607696276,0.15052962675165002,23.713323996721623,0.05010230326055209,3.2620349767767016,23.716278466501407,1.0452013133071647
-35.82500000000001,3.2833875378147863,0.15052999558898703,23.709194636306744,0.0501018066078864,3.2620753058297645,23.71626504345639,1.0452331712717224
-35.81666666666668,3.2904929986666986,0.15053036472063727,23.706847572328368,0.050101309540193394,3.2621156690829856,23.716251609194416,1.04526505625272
-35.808333333333344,3.269190266419072,0.15053073414686174,23.713899507013995,0.0501008120570732,3.2621560665700775,23.71623816370468,1.0452969682767885
-35.80000000000001,3.0494221827082564,0.15053110386792287,23.78945611198935,0.05010031415812595,3.2621964983247898,23.716224706976377,1.045328907370588
-35.79166666666668,3.2328888388937984,0.15053147388408225,23.726023070272067,0.05009981584295098,3.2622369643809086,23.716211238998675,1.0453608735608089
-35.783333333333346,3.429823106249042,0.1505318441956027,23.661820695491468,0.05009931711114749,3.26227746477226,23.716197759760743,1.0453928668741714
-35.77500000000001,2.927076972150838,0.1505322148027462,23.833914642377394,0.05009881796231391,3.262317999532707,23.716184269251727,1.0454248873374257
-35.76666666666668,3.1776694971055353,0.1505325857058277,23.74472818714781,0.0500983183959782,3.2623585687018544,23.71617076745887,1.0454569349818577
-35.75833333333335,3.307764018905739,0.150532956904954,23.70116370316656,0.05009781841194883,3.262399172296532,23.716157254376995,1.045489009820762
