*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Feb  1 16:39:27 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2050-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -1.756645157282301E-01,  8.861989849726888E-01,  3.844346953203540E-01, -1.722857157049219E-02, -2.766250444257055E-03, -1.199380230572287E-03,  5.670596425595155E-03,  9.818333351535334E-01,  1.160247550646526E-04,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000, -1.928665295139997E-01,  8.832940882559513E-01,  3.831752797634300E-01, -1.717452473067176E-02, -3.043426242328278E-03, -1.319401460049205E-03,  5.671280333442162E-03,  9.819517501264865E-01,  1.207682041154497E-04,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000, -2.100117004440631E-01,  8.801123888026062E-01,  3.817960002404940E-01, -1.711488395986800E-02, -3.319833051218270E-03, -1.439099133110630E-03,  5.671991022744707E-03,  9.820748021647212E-01,  1.253034829309287E-04,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000, -2.270944303953793E-01,  8.766547244523765E-01,  3.802972075824235E-01, -1.704964237210258E-02, -3.595332902485633E-03, -1.558418509508551E-03,  5.672727371750541E-03,  9.822022970428560E-01,  1.296586670251205E-04,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000, -2.441091188627624E-01,  8.729220718819486E-01,  3.786793079604147E-01, -1.697880212702654E-02, -3.869786034576173E-03, -1.677303624319685E-03,  5.673488425015127E-03,  9.823340693307987E-01,  1.338634299065789E-04,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000, -2.610501722420264E-01,  8.689155484984394E-01,  3.769427641689278E-01, -1.690237501538978E-02, -4.143050768955143E-03, -1.795697191166154E-03,  5.674273405171969E-03,  9.824699844317116E-01,  1.379498783702105E-04,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000, -2.779120139621091E-01,  8.646364141926155E-01,  3.750880969280693E-01, -1.682038350322570E-02, -4.414983940624946E-03, -1.913540675445322E-03,  5.675081728535957E-03,  9.826099412836512E-01,  1.419530127357510E-04,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000, -2.946890957227520E-01,  8.600860723548547E-01,  3.731158860030277E-01, -1.673286183675796E-02, -4.685441933626867E-03, -2.030774588875326E-03,  5.675913021989956E-03,  9.827538752833884E-01,  1.459107078525461E-04,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000, -3.113759097323171E-01,  8.552660696019385E-01,  3.710267709255197E-01, -1.663985689867140E-02, -4.954282190625171E-03, -2.147338981703702E-03,  5.676767138482372E-03,  9.829017609697289E-01,  1.498632723530409E-04,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000, -3.279670016124300E-01,  8.501780938512670E-01,  3.688214511539932E-01, -1.654142868012988E-02, -5.221364968663139E-03, -2.263174058557992E-03,  5.677644169159435E-03,  9.830536141241529E-01,  1.538527579612893E-04,
